Time (s),Channel 1 (V)
-0.00258006,0.007133835415646696
-0.00257943,0.007468999710455705
-0.0025788,0.007804164005265021
-0.00257817,0.007804164005264868
-0.00257754,0.007468999710455858
-0.00257691,0.007468999710455858
-0.00257628,0.007468999710455858
-0.00257565,0.007468999710455858
-0.00257502,0.006798671120837534
-0.00257439,0.006463506826028523
-0.00257376,0.006463506826028371
-0.00257313,0.006463506826028371
-0.0025725,0.006463506826028371
-0.00257187,0.006463506826028371
-0.00257124,0.006128342531219361
-0.00257061,0.006463506826028371
-0.00256998,0.006128342531219209
-0.00256935,0.006128342531219209
-0.00256872,0.005458013941600883
-0.00256809,0.005458013941601036
-0.00256746,0.005793178236410046
-0.00256683,0.005458013941600883
-0.0025662,0.00579317823641035
-0.00256557,0.006463506826028371
-0.00256494,0.006798671120837534
-0.00256431,0.007468999710455552
-0.00256368,0.007468999710455858
-0.00256305,0.007804164005265021
-0.00256242,0.007804164005265021
-0.00256179,0.007804164005265021
-0.00256116,0.007804164005265021
-0.00256053,0.007804164005265021
-0.0025599,0.007468999710455858
-0.00255927,0.007133835415646848
-0.00255864,0.007133835415646696
-0.00255801,0.006128342531219209
-0.00255738,0.006128342531219209
-0.00255675,0.006128342531219209
-0.00255612,0.005793178236410046
-0.00255549,0.005793178236410046
-0.00255486,0.006128342531219209
-0.00255423,0.005793178236410198
-0.0025536,0.006463506826028371
-0.00255297,0.006463506826028371
-0.00255234,0.006463506826028371
-0.00255171,0.006798671120837534
-0.00255108,0.006128342531219513
-0.00255045,0.006798671120837534
-0.00254982,0.006463506826028371
-0.00254919,0.006798671120837381
-0.00254856,0.006798671120837534
-0.00254793,0.006463506826028371
-0.0025473,0.006798671120837381
-0.00254667,0.006463506826028371
-0.00254604,0.00746899971045601
-0.00254541,0.007804164005265021
-0.00254478,0.006798671120837534
-0.00254415,0.006463506826028523
-0.00254352,0.006798671120837534
-0.00254289,0.006463506826028371
-0.00254226,0.007468999710455401
-0.00254163,0.005793178236410046
-0.002541,0.006128342531218751
-0.00254037,0.005122849646791721
-0.00253974,0.005793178236410046
-0.00253911,0.005122849646792027
-0.00253848,0.005458013941600883
-0.00253785,0.004787685351982558
-0.00253722,0.005458013941600578
-0.00253659,0.005458013941600883
-0.00253596,0.006463506826028218
-0.00253533,0.006128342531219209
-0.0025347,0.006128342531219209
-0.00253407,0.006463506826028523
-0.00253344,0.006798671120837534
-0.00253281,0.007468999710455858
-0.00253218,0.007804164005264868
-0.00253155,0.007804164005265021
-0.00253092,0.007804164005265021
-0.00253029,0.007804164005265021
-0.00252966,0.007133835415646696
-0.00252903,0.006798671120837229
-0.0025284,0.006128342531219209
-0.00252777,0.006463506826028371
-0.00252714,0.006798671120837381
-0.00252651,0.006128342531219209
-0.00252588,0.006128342531219209
-0.00252525,0.005458013941600883
-0.00252462,0.005122849646791721
-0.00252399,0.006128342531218904
-0.00252336,0.005458013941600883
-0.00252273,0.005793178236410046
-0.0025221,0.006128342531219056
-0.00252147,0.006463506826028371
-0.00252084,0.006463506826028371
-0.00252021,0.006463506826028371
-0.00251958,0.006798671120837534
-0.00251895,0.006798671120837686
-0.00251832,0.007133835415646696
-0.00251769,0.006798671120837534
-0.00251706,0.007133835415646543
-0.00251643,0.007133835415646696
-0.0025158,0.007804164005265021
-0.00251517,0.00746899971045601
-0.00251454,0.007468999710455858
-0.00251391,0.007468999710460735
-0.00251328,0.01819425714434906
-0.00251265,0.02791402169381477
-0.00251202,0.02724369310419675
-0.00251139,0.02623820021976895
-0.00251076,0.02623820021976895
-0.00251013,0.02523270733534192
-0.0025095,0.02422721445091398
-0.00250887,0.02422721445091367
-0.00250824,0.02355688586129566
-0.00250761,0.02355688586129566
-0.00250698,0.02322172156648664
-0.00250635,0.02288655727167733
-0.00250572,0.02322172156648649
-0.00250509,0.02288655727167748
-0.00250446,0.02355688586129566
-0.00250383,0.02422721445091383
-0.0025032,0.02389205015610482
-0.00250257,0.02355688586129566
-0.00250194,0.02288655727167702
-0.00250131,0.022216228682059
-0.00250068,0.02255139297686817
-0.00250005,0.02221622868205916
-0.00249942,0.02121073579763152
-0.00249879,0.02121073579763106
-0.00249816,0.02020524291320403
-0.00249753,0.01987007861839487
-0.0024969,0.01953491432358555
-0.00249627,0.01919975002877654
-0.00249564,0.01886458573396738
-0.00249501,0.01886458573396738
-0.00249438,0.01852942143915822
-0.00249375,0.01852942143915822
-0.00249312,0.01852942143915822
-0.00249249,0.01819425714434906
-0.00249186,0.01785909284953974
-0.00249123,0.01752392855473073
-0.0024906,0.01785909284953989
-0.00248997,0.01752392855473088
-0.00248934,0.01718876425992157
-0.00248871,0.01785909284953989
-0.00248808,0.01785909284953989
-0.00248745,0.01718876425992157
-0.00248682,0.01752392855473058
-0.00248619,0.01718876425992157
-0.00248556,0.01752392855473073
-0.00248493,0.01718876425992172
-0.0024843,0.01718876425992157
-0.00248367,0.01752392855473073
-0.00248304,0.01718876425992157
-0.00248241,0.01651843567030324
-0.00248178,0.01618327137549377
-0.00248115,0.01551294278587576
-0.00248052,0.01484261419625743
